,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_supertren…(H,L,C,30)","Exit_supertren…(H,L,C,30)","Entry_ema(C[D],10)","Exit_ema(C[D],10)"
40,5,1988,2000,21728.94921875,21507.30078125,,,-1108.2421875,0.0,-0.010200605435109478,2024-01-05 09:15:00+05:30,2024-01-08 14:15:00+05:30,3 days 05:00:00,,21560.121278697505,21729.056807526835,21548.604481854272,21577.86744538077
41,-5,2001,2003,21511.349609375,21695.849609375,,,-922.5,0.0,-0.008576867716360903,2024-01-08 15:15:00+05:30,2024-01-09 10:15:00+05:30,0 days 19:00:00,,21684.18316915094,21494.52505496736,21577.86744538077,21565.77329337972
42,5,2004,2012,21690.400390625,21510.30078125,,,-900.498046875,0.0,-0.008303194322445195,2024-01-09 11:15:00+05:30,2024-01-10 12:15:00+05:30,1 days 01:00:00,,21508.59502058303,21692.444013325614,21565.77329337972,21563.259825265224
43,-5,2013,2023,21531.900390625,21804.5,,,-1362.998046875,0.0,-0.012660267065590203,2024-01-10 13:15:00+05:30,2024-01-12 09:15:00+05:30,1 days 20:00:00,,21692.444013325614,21570.880501593798,21563.259825265224,21591.802160921347
44,4,2024,2045,21822.150390625,21740.69921875,,,-325.8046875,0.0,-0.0037324997957117745,2024-01-12 10:15:00+05:30,2024-01-17 10:15:00+05:30,5 days 00:00:00,,21627.39428305109,21964.86331205335,21591.802160921347,21787.338794491294
45,-4,2046,2086,21675.44921875,21573.44921875,,,408.0,0.0,0.004705784824600823,2024-01-17 11:15:00+05:30,2024-01-29 09:15:00+05:30,11 days 22:00:00,,21910.69709584131,21225.94471215127,21787.338794491294,21542.635223298723
46,4,2087,2143,21634.69921875,21737.0,,,409.203125,0.0,0.004728551121308877,2024-01-29 10:15:00+05:30,2024-02-08 10:15:00+05:30,10 days 00:00:00,,21322.87575429831,22038.031469739613,21542.635223298723,21764.802431138414
47,-4,2146,2177,21727.75,21885.349609375,,,-630.3984375,0.0,-0.007253379175248265,2024-02-08 13:15:00+05:30,2024-02-15 09:15:00+05:30,6 days 20:00:00,,22036.054489534275,21580.929679660225,21764.802431138414,21757.751718220537
48,4,2178,2212,21868.5,21935.5,,,268.0,0.0,0.003063767519491556,2024-02-15 10:15:00+05:30,2024-02-22 09:15:00+05:30,6 days 23:00:00,,21594.576001536134,22221.73203524641,21757.751718220537,21959.217569438322
49,-4,2213,2217,21927.05078125,22206.69921875,,,-1118.59375,0.0,-0.01275358187883291,2024-02-22 10:15:00+05:30,2024-02-22 14:15:00+05:30,0 days 04:00:00,,22136.591846311112,21896.439380597283,21959.217569438322,21959.217569438322
50,4,2218,2243,22216.900390625,21942.5,,,-1097.6015625,0.0,-0.012350975419631038,2024-02-22 15:15:00+05:30,2024-02-28 12:15:00+05:30,5 days 21:00:00,,21986.854780150294,22221.32571073456,21959.217569438322,22079.70306766682
51,-4,2244,2254,22044.849609375,22196.94921875,,,-608.3984375,0.0,-0.006899553050718765,2024-02-28 13:15:00+05:30,2024-03-01 09:15:00+05:30,1 days 20:00:00,,22221.32571073456,21881.495519689994,22079.70306766682,22050.02946833481
52,4,2255,2304,22208.69921875,22239.0,,,121.203125,0.0,0.0013643654205743871,2024-03-01 10:15:00+05:30,2024-03-13 10:15:00+05:30,12 days 00:00:00,,21957.594855231575,22509.50885607654,22050.02946833481,22300.506284775714
