,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_get_sma(C,30)","Exit_get_sma(C,30)","Entry_get_sma(C,60)","Exit_get_sma(C,60)"
81,70,4079,4097,2521.52587890625,2421.8623046875,,,-10436.821923828125,3460.3717285156254,-0.059129853594586494,2025-06-20 00:00:00+00:00,2025-06-20 18:00:00+00:00,0 days 18:00:00,,2517.881168619792,2512.176448567708,2515.3500244140623,2514.936669921875
82,-68,4097,4178,2421.8623046875,2393.56591796875,,,-1350.3368945312504,3274.4911914062504,-0.008199432093797213,2025-06-20 18:00:00+00:00,2025-06-24 03:00:00+00:00,3 days 09:00:00,,2512.176448567708,2293.206233723958,2514.936669921875,2281.852014160156
83,69,4178,4261,2393.56591796875,2429.14892578125,,,-872.4457031250004,3327.6732421875004,-0.005282553753827777,2025-06-24 03:00:00+00:00,2025-06-27 14:00:00+00:00,3 days 11:00:00,,2293.206233723958,2437.2575846354166,2281.852014160156,2440.3701619466146
84,-67,4261,4303,2429.14892578125,2440.053466796875,,,-3992.969851074219,3262.365603027344,-0.02453392803911309,2025-06-27 14:00:00+00:00,2025-06-29 08:00:00+00:00,1 days 18:00:00,,2437.2575846354166,2432.2554850260417,2440.3701619466146,2430.7837931315103
85,65,4303,4362,2440.053466796875,2411.17578125,,,-5030.348571777344,3153.2990112304688,-0.03171650911770216,2025-06-29 08:00:00+00:00,2025-07-01 19:00:00+00:00,2 days 11:00:00,,2432.2554850260417,2462.6053792317707,2430.7837931315103,2464.1401123046876
86,-64,4362,4390,2411.17578125,2595.154296875,,,-14978.67625,3204.0512500000004,-0.09706543099272434,2025-07-01 19:00:00+00:00,2025-07-02 23:00:00+00:00,1 days 04:00:00,,2462.6053792317707,2473.9857177734375,2464.1401123046876,2469.995296223958
87,54,4390,4436,2595.154296875,2491.063720703125,,,-8367.448842773438,2746.5577294921877,-0.059708494610222346,2025-07-02 23:00:00+00:00,2025-07-04 21:00:00+00:00,1 days 22:00:00,,2473.9857177734375,2550.7442626953125,2469.995296223958,2556.061002604167
88,-53,4436,4481,2491.063720703125,2547.673828125,,,-5670.866594238281,2670.5309008789063,-0.04295252747687857,2025-07-04 21:00:00+00:00,2025-07-06 18:00:00+00:00,1 days 21:00:00,,2550.7442626953125,2520.963631184896,2556.061002604167,2519.838700358073
89,49,4481,4527,2547.673828125,2565.434326171875,,,-1635.1585913085937,2505.4229956054687,-0.013098452057598582,2025-07-06 18:00:00+00:00,2025-07-08 16:00:00+00:00,1 days 22:00:00,,2520.963631184896,2549.94853515625,2519.838700358073,2550.719901529948
90,-48,4527,4530,2565.434326171875,2625.6669921875,,,-5382.8966015625,2491.7286328125,-0.043713330742930656,2025-07-08 16:00:00+00:00,2025-07-08 19:00:00+00:00,0 days 03:00:00,,2549.94853515625,2555.772395833333,2550.719901529948,2555.7621541341146
